G,K20,K50,K100,Va,Vc,L,DT,RF,GB,XGB
X,,,,X,X,1.1152457492017076,1.185509153415737,1.162552029840628,1.306856828668173,1.3618520210272773
X,,,,X,,1.11983260830366,1.38891366134842,1.242510578648831,1.1264056088534855,1.3033329347474503
X,,,,,X,1.1152881915918031,1.1671779583027913,1.2090855754754664,1.3899905862376536,1.6627597632015063
X,,,,,,1.1219055719526863,1.1369428725736916,1.1352767149263332,1.1210918673623593,1.1348575237194194
,,,,X,X,1.115484636605595,1.1729391166344638,1.1515203932445284,1.1403152235586616,1.1691435260271168
,,,,X,,1.1207929607095106,1.1207183416664617,1.1206659672908277,1.1204896142671885,1.1207139009853548
,,,,,X,1.1155955411099379,1.2401006877496896,1.1857732758865567,1.1624298048408142,1.217421752135032
X,X,,,X,X,1.1152502194605685,1.1692708329525208,1.1711621030782917,1.158512637508002,1.2756669420262932
X,X,,,X,,1.1178808465379289,2.3432823651222856,1.3985664545050371,1.1882156689843237,1.8302826961608425
X,X,,,,X,1.1152479650956675,1.1619035490914236,1.1391175559892448,1.159377852770156,1.259878814596267
X,X,,,,,1.1193571176480637,1.444930384021025,1.1230593201583048,1.143800266596861,1.1553261140640165
,X,,,X,X,1.11408929234675,1.1218599179739202,1.124842026282116,1.1126131626092042,1.1223715443754554
,X,,,X,,1.1166441058982353,1.3281242733306176,1.1891016946770452,1.1338360295034289,1.1145931875337687
,X,,,,X,1.1140904230019524,1.1418617534571467,1.1350232665496311,1.1327483792425157,1.1259247720585428
,X,,,,,1.1185489531042736,1.1223418763011266,1.1208511832171628,1.1217193244756618,1.1219963160310589
X,,X,,X,X,1.117611269423299,1.1263883141859004,1.1437783117100442,1.1624806723534675,1.2576983581516579
X,,X,,X,,1.1194089097313764,2.2785279340702593,1.3675279906222872,1.1602921952781236,1.7691222604950325
X,,X,,,X,1.1176104114303131,1.0704078364522924,1.1371204808683897,1.1741595647378589,1.2583928023509905
X,,X,,,,1.1203924020515557,1.169905681473517,1.104021747677922,1.152188523019776,1.1361618541791023
,,X,,X,X,1.1167111367643956,1.262426351678355,1.1248117299993714,1.102909322373629,1.1190189246115463
,,X,,X,,1.1184286521379956,1.1519256932430588,1.34152532959172,1.138749659097309,1.211586073369105
,,X,,,X,1.1167132009596665,1.2815914659760153,1.1368743522206828,1.1115935901032215,1.1324434657551796
,,X,,,,1.1195603261915748,1.1547877623512017,1.122917893357813,1.1277448903706546,1.1209970066597972
X,,,X,X,X,1.118536349306922,1.1816858325847672,1.1745185019416862,1.2920800688196294,1.2463095802356516
X,,,X,X,,1.120412889917683,2.3702542120574677,1.3272518945900058,1.2738761870144142,1.715253599697904
X,,,X,,X,1.1185340389965086,1.1753088255351287,1.145018963955753,1.1990247570029826,1.208479678070206
X,,,X,,,1.1214078741707871,1.9171513930535615,1.1602773621050855,1.3971264222889592,1.2771633199694281
,,,X,X,X,1.1177368241445669,1.441526329972462,1.1547837977366897,1.108646843074049,1.111498993254269
,,,X,X,,1.119699320331879,2.194276215511991,1.3282850990774164,1.2661890041639126,1.1155074541364336
,,,X,,X,1.1177380329010127,1.3846651049716012,1.1468369824239988,1.1365596573065806,1.1148665620268843
,,,X,,,1.1209511224656665,1.129962693348311,1.167179608677622,1.2007065716336922,1.1248526131560737
