G,K20,K50,K100,P,Vc,L,DT,RF,GB,XGB
X,,,,X,X,0.1783310268893679,0.13562168458032392,0.10783869018700123,0.0989391421270312,0.1061384043036082
X,,,,X,,0.2284362912389822,0.21705885315129267,0.17984794536679458,0.17311234304026635,0.1773917218989771
X,,,,,X,0.17833774404848904,0.12032293466815751,0.10818766143320699,0.09891808915874661,0.10146036791116873
X,,,,,,0.2289220629589728,0.21931041608891963,0.21834932102091195,0.2228124867075182,0.21859777024691054
,,,,X,X,0.18296636699167718,0.13695192174291995,0.11439901752817765,0.10197126231245612,0.10783906150083811
,,,,X,,0.2537561286011678,0.20480645306510023,0.1894095837871193,0.17442662395880326,0.17672561045982385
,,,,,X,0.18298306171852835,0.10743427673648302,0.10547971591452344,0.10200405010646674,0.10269430226631772
X,X,,,X,X,0.1777299835368542,0.13389620675809777,0.10687459754141773,0.09892595740249724,0.10449021478096952
X,X,,,X,,0.223277064391205,0.21625708245923153,0.1786507397634355,0.17307460875630143,0.17387771306469463
X,X,,,,X,0.17772941186958593,0.12021342042272566,0.10689076830738543,0.09885319834160014,0.1002751574296751
X,X,,,,,0.22363319206067897,0.21665794328761642,0.21330772410783183,0.220336722055693,0.21237204063407797
,X,,,X,X,0.18182146646257927,0.13689078379972963,0.11321254428009987,0.10113334866926914,0.10503315400206854
,X,,,X,,0.24378867519767503,0.20348822308817863,0.18640590491606382,0.1738275174905173,0.1761584895283254
,X,,,,X,0.18182167933391535,0.11018169999872961,0.10466504871392666,0.1012412435087742,0.10205426822230619
,X,,,,,0.24419617132534738,0.24199138404240822,0.24190935564144142,0.24324655455745234,0.2421779173462252
X,,X,,X,X,0.1775257285935451,0.13337510156984117,0.10649325795480524,0.0987341191646093,0.10422527521025861
X,,X,,X,,0.2213590880997427,0.21635210057117824,0.17796072134998142,0.17324041199408438,0.1746401553653768
X,,X,,,X,0.17752548608000818,0.1180689078813579,0.10605724837911612,0.09865400407172967,0.10019516237573413
X,,X,,,,0.22158092352910638,0.21660644766717616,0.211353177264986,0.22003795595048606,0.21058517732642368
,,X,,X,X,0.18144193369320444,0.13641025314139218,0.11261165214631168,0.10065456665964019,0.10458439643135121
,,X,,X,,0.23914278868161232,0.20375336060053056,0.18592379795863817,0.1740767180770295,0.17509371371331486
,,X,,,X,0.1814423033336474,0.11118002509889754,0.1038712348582608,0.10082856199500495,0.10177695614852095
,,X,,,,0.23934611441905743,0.23472470680630547,0.23394598330189148,0.23998840580671274,0.23586047555795966
X,,,X,X,X,0.17701598320953182,0.13005606976388143,0.10593634434892885,0.09839702136332751,0.10324520732165665
X,,,X,X,,0.21916244130439733,0.21519587972806323,0.17740511497452277,0.1733891494533507,0.17417913574742708
X,,,X,,X,0.17701533461331562,0.1171358706004895,0.10545383473454943,0.09840897277535178,0.09871123861970726
X,,,X,,,0.21938914275480337,0.21726978502984973,0.21008783781363907,0.22009117640288964,0.20887439330475707
,,,X,X,X,0.18069519680468346,0.134743550168469,0.1114047622138114,0.10027220547171245,0.10293127328205812
,,,X,X,,0.2357147362210339,0.20240653674185377,0.18391316209754188,0.17336790200965155,0.1723477085583674
,,,X,,X,0.18069544913122385,0.11130361051465418,0.10308485509567689,0.10036192402107796,0.10094565371946206
,,,X,,,0.23596287009331657,0.2310457222028379,0.22837313926505137,0.2393384908381858,0.23292790923585854
