G,K20,K50,K100,P,Vc,L,DT,RF,GB,XGB,BEST,BEST_MODEL
X,,,,X,X,0.1783310269,0.1356216846,0.1078386902,0.09893914213,0.1061384043,0.09893914213,GB
X,,,,X,,0.2284362912,0.2170588532,0.1798479454,0.173112343,0.1773917219,0.173112343,GB
X,,,,,X,0.178337744,0.1203229347,0.1081876614,0.09891808916,0.1014603679,0.09891808916,GB
X,,,,,,0.228922063,0.2193104161,0.218349321,0.2228124867,0.2185977702,0.218349321,RF
,,,,X,X,0.182966367,0.1369519217,0.1143990175,0.1019712623,0.1078390615,0.1019712623,GB
,,,,X,,0.2537561286,0.2048064531,0.1894095838,0.174426624,0.1767256105,0.174426624,GB
,,,,,X,0.1829830617,0.1074342767,0.1054797159,0.1020040501,0.1026943023,0.1020040501,GB
X,X,,,X,X,0.1777299835,0.1338962068,0.1068745975,0.0989259574,0.1044902148,0.0989259574,GB
X,X,,,X,,0.2232770644,0.2162570825,0.1786507398,0.1730746088,0.1738777131,0.1730746088,GB
X,X,,,,X,0.1777294119,0.1202134204,0.1068907683,0.09885319834,0.1002751574,0.09885319834,GB
X,X,,,,,0.2236331921,0.2166579433,0.2133077241,0.2203367221,0.2123720406,0.2123720406,XGB
,X,,,X,X,0.1818214665,0.1368907838,0.1132125443,0.1011333487,0.105033154,0.1011333487,GB
,X,,,X,,0.2437886752,0.2034882231,0.1864059049,0.1738275175,0.1761584895,0.1738275175,GB
,X,,,,X,0.1818216793,0.1101817,0.1046650487,0.1012412435,0.1020542682,0.1012412435,GB
,X,,,,,0.2441961713,0.241991384,0.2419093556,0.2432465546,0.2421779173,0.2419093556,RF
X,,X,,X,X,0.1775257286,0.1333751016,0.106493258,0.09873411916,0.1042252752,0.09873411916,GB
X,,X,,X,,0.2213590881,0.2163521006,0.1779607213,0.173240412,0.1746401554,0.173240412,GB
X,,X,,,X,0.1775254861,0.1180689079,0.1060572484,0.09865400407,0.1001951624,0.09865400407,GB
X,,X,,,,0.2215809235,0.2166064477,0.2113531773,0.220037956,0.2105851773,0.2105851773,XGB
,,X,,X,X,0.1814419337,0.1364102531,0.1126116521,0.1006545667,0.1045843964,0.1006545667,GB
,,X,,X,,0.2391427887,0.2037533606,0.185923798,0.1740767181,0.1750937137,0.1740767181,GB
,,X,,,X,0.1814423033,0.1111800251,0.1038712349,0.100828562,0.1017769561,0.100828562,GB
,,X,,,,0.2393461144,0.2347247068,0.2339459833,0.2399884058,0.2358604756,0.2339459833,RF
X,,,X,X,X,0.1770159832,0.1300560698,0.1059363443,0.09839702136,0.1032452073,0.09839702136,GB
X,,,X,X,,0.2191624413,0.2151958797,0.177405115,0.1733891495,0.1741791357,0.1733891495,GB
X,,,X,,X,0.1770153346,0.1171358706,0.1054538347,0.09840897278,0.09871123862,0.09840897278,GB
X,,,X,,,0.2193891428,0.217269785,0.2100878378,0.2200911764,0.2088743933,0.2088743933,XGB
,,,X,X,X,0.1806951968,0.1347435502,0.1114047622,0.1002722055,0.1029312733,0.1002722055,GB
,,,X,X,,0.2357147362,0.2024065367,0.1839131621,0.173367902,0.1723477086,0.1723477086,XGB
,,,X,,X,0.1806954491,0.1113036105,0.1030848551,0.100361924,0.1009456537,0.100361924,GB
,,,X,,,0.2359628701,0.2310457222,0.2283731393,0.2393384908,0.2329279092,0.2283731393,RF
